Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags
2016-12-25,1.34,914035.42,93875.25,250138.66,3415.27,566606.24,330909.02,235697.22,0
2016-12-18,1.43,797042.27,97661.23,248598.14,4926.76,445856.14,279458.24,166397.9,0
2016-12-11,1.42,856795.63,93027.82,248303.87,6116.44,509347.5,293760.79,215586.71,0
2016-12-04,1.56,832767.55,106472.53,242055.86,2918.28,481320.88,284858.65,196462.23,0
2016-11-27,1.64,761675.87,100240.54,198874.09,3381.69,459179.55,292770.32,166409.23,0
2016-11-20,1.63,860320.59,110737.55,233518.72,3847.05,512217.27,319112.58,193104.69,0
2016-11-13,1.7,863948.15,110018.79,257268.83,3669.98,492990.55,322666.23,170324.32,0
2016-11-06,1.68,897671.29,117317.9,266018.89,5049.63,509284.87,284638.32,224646.55,0
2016-10-30,1.93,647723.55,123815.8,279842.5,5661.78,238403.47,180631.31,57772.16,0
2016-10-23,1.63,699763.35,131203.12,241758.21,4363.02,322439,168962.6,153476.4,0
2016-10-16,1.5,815859.49,114303.56,243788.95,4732.27,453034.71,250864.4,202170.31,0
2016-10-09,1.52,878367.41,127092.78,266687.47,5103.42,479483.74,289726.54,189757.2,0
2016-10-02,1.71,790926.03,131467.24,272293.48,4904.25,382261.06,282727.98,99533.08,0
2016-09-25,1.69,808891.94,119993.58,272553.74,4407.75,411936.87,289496.36,122440.51,0
2016-09-18,1.67,871627.58,127014.67,266648.5,4597.27,473367.14,359599.26,113767.88,0
2016-09-11,1.52,1103488.85,144991.21,334671.53,3481.85,620344.26,438024.44,182319.82,0
2016-09-04,1.54,1052088.77,137842.79,344378.75,4653.04,565214.19,415589.66,149624.53,0
2016-08-28,1.49,948530.88,135742.77,316907.28,5110.77,490770.06,345580.78,145189.28,0
2016-08-21,1.51,1033169.7,177591.96,308314.91,5831.02,541431.81,458921.84,82509.97,0
2016-08-14,1.48,1093287.79,186697.3,341463.72,10231.17,554895.6,459261.24,95634.36,0
2016-08-07,1.55,1012237.01,151179.99,332421.63,10707.18,517928.21,313872.28,204055.93,0
2016-07-31,1.58,946087.81,156417.33,328942.12,9035.27,451693.09,320652.23,131040.86,0
2016-07-24,1.65,919489.84,159151.31,343780.56,8612.44,407945.53,329530.26,78415.27,0
2016-07-17,1.63,1018118.27,152828.51,359772.18,9957.61,495559.97,346531.83,149028.14,0
2016-07-10,1.51,1043428.53,152994.7,355101.22,12180.53,523152.08,379451.98,143700.1,0
2016-07-03,1.47,1073595.37,159903,381527.15,11897.11,520268.11,350794.25,169473.86,0
2016-06-26,1.5,1007378.78,171054.38,391129.07,6763.46,438431.87,310467.62,127964.25,0
2016-06-19,1.45,1071066.66,166983.45,445194.49,12052.84,446835.88,302393.63,144442.25,0
2016-06-12,1.45,975275.55,176286.36,403561.49,8626.89,386800.81,279246.87,107553.94,0
2016-06-05,1.43,1012717.93,152105.91,410451.71,7817.11,442343.2,310881.84,131461.36,0
2016-05-29,1.41,1085152.56,137449.41,468311.32,13698.09,465693.74,349592.45,116101.29,0
2016-05-22,1.36,1165715.01,166883.21,455336.56,15807.85,527687.39,370815.25,156872.14,0
2016-05-15,1.45,1023252.17,146037.3,437584.52,8120.53,431509.82,309561.79,121948.03,0
2016-05-08,1.3,1137940.78,132225.28,443777.31,26765.78,535172.41,319417.49,215754.92,0
2016-05-01,1.28,1317867,238992.91,484383.87,22276.6,572213.62,368709.06,203504.56,0
2016-04-24,1.25,1475457.53,225429.09,524511.95,8687.81,716828.68,555986.43,160842.25,0
2016-04-17,1.38,1022217.32,115155.65,388081.34,7878.94,511101.39,352484.76,158616.63,0
2016-04-10,1.26,1179603.03,108747.34,400281.85,12154.73,658419.11,368458.82,289960.29,0
2016-04-03,1.44,930722.39,119283.9,371845.6,8628.68,430964.21,289504.38,141459.83,0
2016-03-27,1.44,900644.79,112620.05,338194.18,7738.95,442091.61,263938.32,178153.29,0
2016-03-20,1.27,1045450.41,105069.07,352698.21,9425.64,578257.49,252881.52,325375.97,0
2016-03-13,1.29,1023655.87,132040.04,346341.46,6709.65,538564.72,282353.48,256211.24,0
2016-03-06,1.28,1012415.85,127184.88,351951.65,5698.2,527581.12,309561.6,218019.52,0
2016-02-28,1.44,845011.63,110120.49,347488.78,10423.3,376979.06,277995.45,98983.61,0
2016-02-21,1.45,738856.92,104135.94,281188.89,8629.03,344903.06,223281.18,121621.88,0
2016-02-14,1.37,852463.31,102897.63,306235.69,6955.69,436374.3,201936.87,234437.43,0
2016-02-07,1.44,758795.1,101408.79,290813.54,8028.75,358544.02,210519.67,148024.35,0
2016-01-31,1.43,772077.2,108929.21,269687.52,5515.91,387944.56,204288.83,183655.73,0
2016-01-24,1.41,776964.55,99316.69,270980.88,12933.97,393733.01,204859.71,188873.3,0
2016-01-17,1.44,695341.42,115992.81,266824.72,13106.29,299417.6,150719.73,148697.87,0
2016-01-10,1.35,828670.59,113867.63,287590.19,8771.79,418440.98,183115.43,235325.55,0
2016-01-03,1.43,704100.5,124799.63,246580.95,7749.4,324970.52,150967.35,174003.17,0
